"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"58",971742.861902719,240157.328369505,703732.714669044,238555.600540116,423177.874848247,1191657.20711383,462026.898170971,1297575.86163756,604483.439420922,348011.716547686,283455.7813303,2052094.6548,38534.42824,1109671.923,1099294.9096,749338.3716,731588.653,770642.062,2950196.367,477926.57565,1094617.8444,16945.513108,46501.7654144
"59",3279412.22748036,513204.403502562,2417328.64147964,882997.511895987,1460333.13429965,4983032.85505408,1912210.04145859,5008861.34619292,1997350.60029707,970396.781625599,1604546.352936,2810758.044,106854.23195,2986361.239,2015394.8575,1700580.776551,1303455.64,1358140.326,6377087.415,2234340.831749,2990200.8936,40138.782846,116747.406871
"60",12922669.7952702,11468313.1180878,27310345.9205153,101449099.928507,16497398.271518,57587102.18015,35712630.2472395,154313982.65648,15893623.3807971,5488126.54391374,4775063.0286,2401592.957192,3264174.6862,42071619.774,93573092.45,4352239.5799,26838824.581,1036654.0321,29493722.16,3678418.733348,8540115.275,74046.79393,21251416.94
"61",13923706.8158762,4109632.98679042,14433354.7511723,7638022.40018208,9368319.00754935,28123537.2615471,12319525.0416588,45400946.4231713,14622598.8278413,3087809.67424658,10071594.4681045,12686937.2655132,4221779.5181038,10801511.681894,10004942.7368825,5528673.5809441,14866010.457936,6581436.9643084,40114383.285275,11978675.4352645,23366364.522606,4.44322095,1959069.6690298
"62",1296815.28694857,988573.542478545,1021685.89379431,628051.256586362,947271.924680355,2294071.78927199,834583.854793439,2411013.72666524,811794.613616208,520219.200115474,2373330.7064867,2152120.4698,34900.29184,1524041.381,1037663.6831,1604546.1103174,3428513.214,1320843.8733,5616031.983,3455695.866903,4905781.5047,20345.9861353,100232.325702
"63",571923409.905501,99717105.574776,260502962.564903,33876253.5960048,54299569.8316012,417265557.251132,288020849.967635,228394541.073936,53519761.0158104,80260462.5868599,139780193.493,380017608.514348,8955912.3799,115431804.2,256736247.39,90064309.541,428553442.29,49940989.076,442341002.19,118389713.653907,123639697.434,293119.10774,84125157.01
"64",156470519.354106,96290200.8457363,196521758.742947,38861944.8070779,38787911.4728096,130430258.31196,47466546.2899737,42666155.8609805,63966551.4929089,2252137.9599693,25994946.59249,240260129.518135,3449867.118174,44464978.614509,98896253.51679,62742951.33267,168286831.555856,9858065.82,126927420.45,720193.40216152,59508050.725,186236.681488051,53449956.0942943
"65",65033274.7391359,13298315.3259609,45920890.5707724,10891383.787735,8898023.2746956,88046728.338995,25063925.3303122,39014784.9474627,30367287.030511,2884234.16318587,6324162.322863,35815575.140329,852329.91123749,10985578.175732,24433409.253812,15692007.344065,76326539.10345,5663321.29687,100351678.0766,28374741.8707529,49326851.370519,714.90643171468,205177.60748166
"66",16843062.0512105,2304362.87598969,19370353.1348052,6096581.13950652,27360414.6501613,25170016.8167733,9203220.02037604,70190305.0776999,33306228.5808601,6258919.13310744,7299751.523088,50070507.994316,4061256.7513454,20635633.4644088,7510797.5931566,13040964.8829633,19553003.5837162,12802199.398563,89862006.82405,18709792.5479398,37688410.7962,50497.3342695,1672496.0287543
"67",13579728.215945,11092731.5745192,39480706.3171328,6127521.32410444,6924296.27093372,28566586.4793627,14351605.9844405,31038737.1374359,9075460.39347598,36885142.4082548,9259383.096405,31595751.06794,872439.48999063,11244771.930276,25009925.65022,8569714.22874779,36716680.91536,9975574.142742,87707204.90083,39518406.3125122,70612077.90936,9312.59621565,2672717.073345
